Street Name,House #,Zip Code,Visit 1 (11-18-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 2 (12-2-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 3 (12-9-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 4 (1-27-23),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes
STRATFORD DR.,115,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,100,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"shredded paper, wrapping paper, pump",O,25,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,116,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,117,27516,S,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,O,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,ice cream carton,L,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ice cream carton,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,200,27516,L,100,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,canvas
STRATFORD DR.,201,27516,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,hangers,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,receipts
STRATFORD DR.,202,27516,L,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coffee bag, receipts",O,50,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"plastic molding, coffee bag",N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,L,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,plastic molding
STRATFORD DR.,203,27516,O,75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,receipts,L,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pump, receipts, coffee tin",S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,receipts,S,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,204,27516,L,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,receipts,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,50,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,L,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,black plastic
STRATFORD DR.,205,27516,L,50,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,receipts,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,206,27516,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,207,27516,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pump,L,100,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,juice pouch,L,75,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,receipts,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,208,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"pump, yard waste",O,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,O,100,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,receipt
